Well,Grupo,Practica,Fluor,Cq
A01,G1,Relativa,SYBR,30.82925956
B01,G1,Relativa,SYBR,41
C01,G1,Relativa,SYBR,26.12265407
D01,G1,Relativa,SYBR,41
E01,G1,Relativa,SYBR,41
F01,G1,Relativa,SYBR,22.33973772
A01,G2,Relativa,SYBR,30.70094772
B01,G2,Relativa,SYBR,20.28850743
C01,G2,Relativa,SYBR,18.74493105
D01,G2,Relativa,SYBR,20.50337989
E01,G2,Relativa,SYBR,34.24199342
A01,G1,Absoluta,SYBR,51
B01,G1,Absoluta,SYBR,51
C01,G1,Absoluta,SYBR,17.6071767
D01,G1,Absoluta,SYBR,19.62745256
E01,G1,Absoluta,SYBR,50.21880811
Profesor,G1,Absoluta,SYBR,18.57611221
Profesor,G2,Absoluta,SYBR,20.90736928
A02,G2,Absoluta,SYBR,12.10215291
A03,G2,Absoluta,SYBR,15.17686834
A04,G2,Absoluta,SYBR,51
A05,G2,Absoluta,SYBR,18.63786199
A06,G2,Absoluta,SYBR,51
100,Curva,Absoluta,SYBR,11.23145
10,Curva,Absoluta,SYBR,15.19541
1,Curva,Absoluta,SYBR,17.6071767
0.1,Curva,Absoluta,SYBR,20.1135
0.01,Curva,Absoluta,SYBR,23.8924716
Referencia,Referencia,Relativa,SYBR,18.4
